TERM,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201420,SS,1,EDU,EDU,150L,30572,Education in America Lab,700,1130,R,,,B,Solomon Abebe,0,0,12,11,YES,
201420,SS,1,EDU,EDU,150L,30573,Education in America Lab,1130,1600,R,,,B,Solomon Abebe,0,0,12,10,YES,
201420,SS,1,EDU,EDU,210,32472,Read/Writ Prof Educators,1400,1515,TR,EULER,14,A,Neva Schwartz,3,3,25,0,,YES
201420,SS,1,EDU,EDU,242,30534,Computers in Edu Settings,1100,1150,MWF,EULER,13,C,Timothy McAboy,3,3,20,1,,
201420,SS,1,EDU,EDU,243,33306,Computer App in Elem Education,800,850,T,EULER,13,C,W. Quinn White,1,1,10,3,,
201420,SS,1,EDU,EDU,260,33154,Educational Psychology,1200,1250,MWF,EULER,14,A,Carol Sisson,3,3,24,-3,,YES
201420,SS,1,EDU,EDU,260,34915,Educational Psychology,1300,1350,MWF,EULER,14,A,Carol Sisson,3,3,24,-2,,YES
201420,SS,1,EDU,EDU,309L,33665,Tch Sec/JH/MS-Special Meth Lab,800,1130,T,NS,206,B,Pamela Jordan-Long,1,1,35,25,,
201420,SS,1,EDU,EDU,309L,33666,Tch Sec/JH/MS-Special Meth Lab,800,1130,R,NS,206,B,Pamela Jordan-Long,1,1,35,25,,
201420,SS,1,EDU,EDU,310,33308,Discipline & Classroom Mngmnt,1830,2015,T,EULER,13,A,Pamela Medows,2,2,25,18,,
201420,SS,1,EDU,EDU,321,35277,Teach Science Elem Classroom,1200,1250,MW,EULER,13,A,Pamela Medows,2,2,18,-5,,YES
201420,SS,1,EDU,EDU,321,35280,Teach Science Elem Classroom,1300,1350,MW,EULER,13,A,Pamela Medows,2,2,18,-2,,YES
201420,SS,1,EDU,EDU,328,35096,Assessment/Student Learning,,,,,,A,Carl Siler,2,2,60,52,,
201420,SS,1,EDU,EDU,332,35922,The Junior High/Middle School,1200,1250,MWF,EULER,62,A,Solomon Abebe,3,3,25,19,,
201420,SS,1,EDU,EDU,332,31017,The Junior High/Middle School,1100,1150,MWF,EULER,62,C,Solomon Abebe,3,3,25,14,,
201420,SS,1,EDU,EDU,332L,32927,The Jr High/Middle School Lab,730,1030,T,,,B,Solomon Abebe,0,0,6,1,YES,
201420,SS,1,EDU,EDU,332L,32928,The Jr High/Middle School Lab,845,1145,T,,,B,Solomon Abebe,0,0,6,4,YES,
201420,SS,1,EDU,EDU,332L,32929,The Jr High/Middle School Lab,930,1230,T,,,B,Solomon Abebe,0,0,6,4,YES,
201420,SS,1,EDU,EDU,332L,32930,The Jr High/Middle School Lab,1130,1430,T,,,B,Solomon Abebe,0,0,6,3,YES,
201420,SS,1,EDU,EDU,332L,32931,The Jr High/Middle School Lab,730,1055,R,,,B,Solomon Abebe,0,0,6,5,YES,
201420,SS,1,EDU,EDU,332L,32932,The Jr High/Middle School Lab,845,1145,R,,,B,Solomon Abebe,0,0,7,7,YES,
201420,SS,1,EDU,EDU,332L,32933,The Jr High/Middle School Lab,900,1200,R,,,B,Solomon Abebe,0,0,6,5,YES,
201420,SS,1,EDU,EDU,332L,32934,The Jr High/Middle School Lab,1130,1430,R,,,B,Solomon Abebe,0,0,6,5,YES,
201420,SS,1,EDU,EDU,351,33901,Meth/Material for Elem Tchr-SP,800,850,MWF,EULER,13,A,Cynthia Tyner,3,3,22,1,,
201420,SS,1,EDU,EDU,351,33902,Meth/Material for Elem Tchr-SP,900,950,MWF,EULER,13,A,Cynthia Tyner,3,3,22,0,,YES
201420,SS,1,EDU,EDU,356,33903,Middle Lit Exp & Assessmnt:4-6,800,850,MWF,EULER,14,A,W. Quinn White,3,3,22,0,,YES
201420,SS,1,EDU,EDU,356,33904,Middle Lit Exp & Assessmnt:4-6,900,950,MWF,EULER,14,A,W. Quinn White,3,3,22,1,,
201420,SS,1,EDU,EDU,356,33905,El Ed Jr Block Field Exp,800,1445,TR,,,B,W. Quinn White,0,0,60,17,,
201420,SS,1,EDU,EDU,384,34027,Perspectives on Diversity,1300,1350,T,EULER,13,S,Carol Sisson,1,1,18,8,,
201420,SS,1,EDU,EDU,421,30181,Supervised Intern Elem Sch-SP,,,,,,F,Timothy McAboy,15,15,20,18,YES,
201420,SS,1,EDU,EDU,421,34826,Supervised Intern in Elem Sch,,,,,,K,Timothy McAboy,15,15,10,10,YES,
201420,SS,1,EDU,EDU,431,30182,Supervised Intern Sec Sch-SP,,,,,,F,Timothy McAboy,15,15,20,14,,
201420,SS,1,EDU,EDU,431,34827,Supervised Intern in Sec Sch,,,,,,K,Timothy McAboy,15,15,10,10,YES,
201420,SS,1,EDU,SED,220,35279,Exceptional Children,1000,1115,TR,EULER,13,A,Cheryl Beyioku,3,3,25,9,,
201420,SS,1,EDU,SED,330,33281,Found of Special Education,1630,1745,TR,EULER,13,A,Julie Korfmacher,3,3,25,12,,
201420,SS,1,EDU,SED,330,36024,Found of Special Education,,,,,,I,Cheryl Beyioku,3,3,99,98,YES,
201420,SS,1,EDU,SED,335,35544,Critical Issues in Special Ed,1300,1350,MWF,EULER,62,A,Jeremy Mills,3,3,25,13,,
201420,SS,1,EDU,SED,340,34483,Assessmnt/Exceptional Learners,1400,1450,MWF,EULER,62,A,Jeremy Mills,3,3,25,16,,
