"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201320,AH,1,MCM,MCM,300,34815,Media Laboratory,,,,,,B,Michael Saunier,2,2,2,2,YES,
201320,AH,1,MCM,MCM,315,34816,Advanced Media Writing,1230,1345,TR,RUPP,101,A,Sara Brookshire,3,3,40,-8,,YES
201320,AH,1,MCM,MCM,332,34817,Layout and Design,1800,2030,T,RUPP,229,A,Michael Saunier,3,3,19,0,,YES
201320,AH,1,MCM,MCM,350,35104,Media Theory and Ethics,1100,1215,TR,RUPP,203,A,Benjamin Lancaster,3,3,25,10,,
201320,AH,1,MCM,MCM,352,35512,History and Criticism of Film,1500,1730,W,RUPP,222,A,Andrew Bruner,3,3,12,-2,,YES
201320,AH,1,MCM,MCM,388,34819,"Media, Faith, and Culture",1100,1215,MW,RUPP,205,A,Kathleen Bruner,3,3,20,-2,,YES
201320,AH,1,MCM,MCM,388,35443,"Media, Faith, and Culture",830,950,MW,RUPP,205,A,Kathleen Bruner,3,3,20,-1,,YES
201320,AH,1,MCM,MCM,393,35576,Practicum,,,,,,P,Donna Downs,2,2,5,3,YES,
201320,AH,1,MCM,MCM,393,35675,Practicum,,,,,,P,Donna Downs,3,3,1,0,YES,YES
201320,AH,1,MCM,MCM,440,34820,Narrative Filmmaking,1600,1715,TR,RUPP,222,A,Andrew Bruner,3,3,12,0,,YES
201320,AH,1,MCM,MCM,461,34821,Pub Relations Writ/Prod-SP,830,950,TR,RUPP,222,A,Donna Downs,3,3,20,1,,
201320,AH,1,MCM,MCM,485,34822,SR Capstone-Produc/Film/Web,1500,1730,M,RUPP,205,A,Kathleen Bruner,3,3,15,-4,,YES
201320,AH,1,MCM,MCM,485,34823,Sr Capstone-Writing/Public Rel,1500,1730,M,RUPP,222,A,Donna Downs,3,3,15,-2,,YES
201320,AH,H1,MCM,MCM,125,35444,Media Comm: New Majors Orien,1100,1150,MW,RUPP,222,A,Donna Downs,1,1,24,2,,
