CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201410,HM,1,ART,HUM,250C,21293,P.A. Ceramics,1300,1450,MTWRF,MMVA,108,G,Susan Nace,1,1,12,0,,YES
201410,HM,1,ART,HUM,250C,21294,P.A. Ceramics,1500,1650,MTWRF,MMVA,108,G,Susan Nace,1,1,12,1,,
201410,HM,1,ART,HUM,250D,21048,P.A. Drawing,1200,1250,MTWRF,MMVA,210,G,Art Adjunct,1,1,15,0,,YES
201420,HM,1,ART,ART,101,30001,Drawing I,1800,2130,M,MMVA,210,G,Suzanne Dittenber,3,3,20,6,,
201420,HM,1,ART,ART,151,33752,Two-Dimensional Design,1230,1420,TR,MMVA,206,G,Susan Nace,3,3,20,7,,
201420,HM,1,ART,ART,152,34553,Visual Communications,800,950,TR,MMVA,206,G,Jonathan Bouw,3,3,22,7,,
201420,HM,1,ART,ART,210,35195,Introduction to Art Education,900,950,MWF,MMVA,8,A,Kathryn Herrmann,3,3,15,11,YES,
201420,HM,1,ART,ART,221,34578,Painting I,1300,1450,MW,MMVA,204,G,Suzanne Dittenber,3,3,16,7,,
201420,HM,1,ART,ART,253,34880,Foundations of Photography,1400,1550,TR,MMVA,207,A,James Miles,3,3,18,1,,
201420,HM,1,ART,ART,254,34574,Illustration I,1100,1250,MF,MMVA,206,G,Jonathan Bouw,3,3,20,9,,
201420,HM,1,ART,ART,257,34028,Layout and Prepress,1300,1450,MW,MMVA,207,G,James Miles,3,3,18,6,,
201420,HM,1,ART,ART,261,30003,Film and Darkroom,1230,1350,TR,MMVA,8,G,James Miles,3,3,15,10,YES,
201420,HM,1,ART,ART,271,34602,Three Dimensional Design,1300,1450,MW,MMVA,106,G,Joshua Welker,3,3,16,5,,
201420,HM,1,ART,ART,281,35520,Ceramics: Handbuilt Forms,1500,1650,MW,MMVA,108,G,Susan Nace,3,3,15,1,,
201420,HM,1,ART,ART,300,35196,Art for Teachers,1100,1150,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,9,,
201420,HM,1,ART,ART,302,35775,Figure Drawing,1800,2130,W,MMVA,210,G,Suzanne Dittenber,3,3,20,5,,
201420,HM,1,ART,ART,313,34536,Western Art History II,1230,1350,TR,RUPP,203,A,Rachel Smith,3,3,30,17,,
201420,HM,1,ART,ART,324,35910,IS Painting II,,,,,,I,Suzanne Dittenber,3,3,2,0,YES,YES
201420,HM,1,ART,ART,351,34575,Product ID-SP,1430,1620,TR,MMVA,206,G,Jonathan Bouw,3,3,20,14,,
201420,HM,1,ART,ART,353,34882,Commercial Photography,1500,1650,MW,MMVA,207,G,James Miles,3,3,16,11,YES,
