"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201390,NS,1,MAT,MAT,382,15029,Advanced Statistical Methods,1400,1450,MWF,EULER,100,A,Kenneth Constantine,3,3,30,0,,YES
201390,NS,1,MAT,MAT,385,15963,Mathematics of Finance,900,950,MWF,EULER,118,A,Philip Mummert,3,3,25,16,,
201390,NS,1,MAT,MAT,392,10261,Mathematics Seminar-SP,1000,1050,T,EULER,118,S,Jeremy Case,1,1,10,0,,YES
201390,NS,1,MAT,MAT,392,15964,Mathematics Seminar-SP,1600,1650,M,EULER,118,S,Jeremy Case,1,1,10,7,YES,
201390,NS,1,MAT,MAT,456,15965,Advanced Algebra,1500,1550,MWF,EULER,,A,Matthew DeLong,3,3,15,8,,
201410,NS,1,MAT,MAT,120,20835,Investigations in Mathematics,1100,1205,MTWRF,EULER,119,A,Mark Colgan,3,3,22,22,YES,
201410,NS,1,MAT,MAT,120,20835,Investigations in Mathematics,1430,1535,MTWRF,EULER,119,A,Mark Colgan,0,0,0,0,YES,
201410,NS,1,MAT,MAT,120,21236,Investigations in Mathematics,1300,1405,MTWRF,EULER,119,A,Mark Colgan,3,3,44,44,YES,
201410,NS,1,MAT,MAT,210,20351,Introductory Statistics,1100,1225,MTWRF,EULER,118,A,Kenneth Constantine,4,4,20,20,YES,
201410,NS,1,MAT,MAT,210,20351,Introductory Statistics,1400,1525,MTWRF,EULER,118,A,Kenneth Constantine,0,0,0,0,YES,
201410,NS,1,MAT,MAT,493,20030,Math Senior Capstone-SP,1300,1415,MTWRF,EULER,100,S,Jeremy Case,3,3,40,40,YES,
